source,timestamp,asset_id,asset_type,area,criticality,criticality_score,temperature,vibration,current,pressure,rpm,alarm_count,delay_hours,spare_lead_time_days,failure_label,failure_mode
public_ai4i_benchmark,2025-01-01 00:00:00,AI4I-1,Public AI4I Machine,Public Benchmark,Medium,2,35.45,2.442,67.1,9.35,1551,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:01:00,AI4I-2,Public AI4I Machine,Public Benchmark,Low,1,35.55,2.911,69.975,9.144,1408,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:02:00,AI4I-3,Public AI4I Machine,Public Benchmark,Low,1,35.35,3.082,72.467,8.964,1498,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:03:00,AI4I-4,Public AI4I Machine,Public Benchmark,Low,1,35.45,2.442,65.208,9.44,1433,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:04:00,AI4I-5,Public AI4I Machine,Public Benchmark,Low,1,35.55,2.44,65.75,9.46,1408,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:05:00,AI4I-6,Public AI4I Machine,Public Benchmark,Medium,2,35.45,2.575,67.342,9.358,1425,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:06:00,AI4I-7,Public AI4I Machine,Public Benchmark,Low,1,35.45,2.488,67.967,9.318,1558,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:07:00,AI4I-8,Public AI4I Machine,Public Benchmark,Low,1,35.45,2.352,66.483,9.433,1527,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:08:00,AI4I-9,Public AI4I Machine,Public Benchmark,Medium,2,35.55,3.159,57.95,8.792,1667,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:09:00,AI4I-10,Public AI4I Machine,Public Benchmark,Medium,2,35.85,3.145,57.75,8.747,1741,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:10:00,AI4I-11,Public AI4I Machine,Public Benchmark,High,3,35.75,3.5,54.925,8.508,1782,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:11:00,AI4I-12,Public AI4I Machine,Public Benchmark,High,3,35.95,2.89,70.642,9.155,1423,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:12:00,AI4I-13,Public AI4I Machine,Public Benchmark,Medium,2,35.95,3.581,76.158,8.758,1339,1,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:13:00,AI4I-14,Public AI4I Machine,Public Benchmark,Medium,2,36.05,3.077,60.583,8.797,1742,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:14:00,AI4I-15,Public AI4I Machine,Public Benchmark,Low,1,36.05,3.958,53.033,8.207,2035,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:15:00,AI4I-16,Public AI4I Machine,Public Benchmark,Low,1,36.05,3.181,74.8,8.877,1542,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:16:00,AI4I-17,Public AI4I Machine,Public Benchmark,Medium,2,36.05,3.3,73.617,8.97,1311,1,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:17:00,AI4I-18,Public AI4I Machine,Public Benchmark,Medium,2,36.05,3.125,73.117,9.014,1410,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:18:00,AI4I-19,Public AI4I Machine,Public Benchmark,High,3,36.05,4.001,80.042,8.508,1306,2,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:19:00,AI4I-20,Public AI4I Machine,Public Benchmark,Medium,2,36.15,3.104,63.958,8.866,1632,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:20:00,AI4I-21,Public AI4I Machine,Public Benchmark,High,3,36.15,2.991,71.858,9.132,1375,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:21:00,AI4I-22,Public AI4I Machine,Public Benchmark,Low,1,36.15,3.114,73.85,8.997,1450,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:22:00,AI4I-23,Public AI4I Machine,Public Benchmark,Medium,2,36.15,3.373,63.442,8.728,1581,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:23:00,AI4I-24,Public AI4I Machine,Public Benchmark,Low,1,36.25,3.625,59.942,8.438,1758,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:24:00,AI4I-25,Public AI4I Machine,Public Benchmark,Medium,2,36.25,2.876,68.808,9.075,1561,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:25:00,AI4I-26,Public AI4I Machine,Public Benchmark,Low,1,36.35,3.856,58.558,8.286,1861,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:26:00,AI4I-27,Public AI4I Machine,Public Benchmark,Low,1,36.35,2.82,70.5,9.15,1512,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:27:00,AI4I-28,Public AI4I Machine,Public Benchmark,High,3,36.25,3.773,59.867,8.343,1811,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:28:00,AI4I-29,Public AI4I Machine,Public Benchmark,Low,1,36.25,3.195,74.983,8.957,1439,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:29:00,AI4I-30,Public AI4I Machine,Public Benchmark,Low,1,36.25,3.417,64.575,8.621,1693,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:30:00,AI4I-31,Public AI4I Machine,Public Benchmark,Medium,2,36.35,3.665,78.317,8.719,1339,1,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:31:00,AI4I-32,Public AI4I Machine,Public Benchmark,Low,1,36.25,3.773,61.542,8.347,1798,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:32:00,AI4I-33,Public AI4I Machine,Public Benchmark,Low,1,36.25,3.615,78.808,8.694,1419,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:33:00,AI4I-34,Public AI4I Machine,Public Benchmark,Low,1,36.15,3.305,67.125,8.72,1665,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:34:00,AI4I-35,Public AI4I Machine,Public Benchmark,Medium,2,35.95,3.252,68.942,8.835,1559,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:35:00,AI4I-36,Public AI4I Machine,Public Benchmark,Medium,2,36.05,3.648,79.617,8.651,1452,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:36:00,AI4I-37,Public AI4I Machine,Public Benchmark,Medium,2,36.05,3.098,70.942,8.923,1581,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:37:00,AI4I-38,Public AI4I Machine,Public Benchmark,Low,1,35.95,3.066,73.067,9.05,1439,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:38:00,AI4I-39,Public AI4I Machine,Public Benchmark,High,3,36.05,3.954,81.858,8.503,1379,0,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:39:00,AI4I-40,Public AI4I Machine,Public Benchmark,Low,1,35.95,4.167,83.625,8.384,1350,1,0.0,0,0,public_ai4i_target_label_only
public_ai4i_benchmark,2025-01-01 00:40:00,AI4I-41,Public AI4I Machine,Public Benchmark,Low,1,35.95,3.575,78.467,8.771,1362,1,0.0,0,0,public_ai4i_target_label_only
