source,timestamp,asset_id,asset_type,area,criticality,criticality_score,temperature,vibration,current,pressure,rpm,alarm_count,delay_hours,spare_lead_time_days,failure_label,failure_mode
steel_demo_app,2026-05-09 21:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,58.488,1.94,49.501,9.735,1464.392,0,0.0,5,0,normal
steel_demo_app,2026-05-09 22:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,55.917,2.232,47.368,9.496,1473.176,0,0.0,5,0,normal
steel_demo_app,2026-05-09 23:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,59.407,2.394,48.132,9.782,1483.74,0,0.0,5,0,normal
steel_demo_app,2026-05-10 00:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,56.625,2.292,46.082,9.72,1479.601,0,0.0,5,0,normal
steel_demo_app,2026-05-10 01:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,57.704,2.03,50.445,9.461,1476.573,0,0.0,5,0,normal
steel_demo_app,2026-05-10 02:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,57.437,2.333,48.731,9.603,1483.447,0,0.0,5,0,normal
steel_demo_app,2026-05-10 03:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,61.427,2.098,46.976,9.297,1484.928,0,0.0,5,0,normal
steel_demo_app,2026-05-10 04:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,59.806,2.172,46.32,9.294,1485.205,0,0.0,5,0,normal
steel_demo_app,2026-05-10 05:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,59.189,2.336,46.669,9.558,1480.933,0,0.0,5,0,normal
steel_demo_app,2026-05-10 06:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,58.35,2.418,48.447,9.67,1480.541,0,0.0,5,0,normal
steel_demo_app,2026-05-10 07:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,58.463,2.358,45.086,9.42,1476.237,0,0.0,5,0,normal
steel_demo_app,2026-05-10 08:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,56.978,2.131,50.99,9.284,1487.746,0,0.0,5,0,normal
steel_demo_app,2026-05-10 09:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,55.307,2.116,48.326,9.647,1485.69,0,0.0,5,0,normal
steel_demo_app,2026-05-10 10:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,59.269,2.113,47.075,9.714,1478.47,0,0.0,5,0,normal
steel_demo_app,2026-05-10 11:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,55.959,1.917,46.161,9.624,1481.139,0,0.0,5,0,normal
steel_demo_app,2026-05-10 12:00:00,MTR-204,Induction Motor,Hot Strip Mill,High,3,59.105,2.093,48.317,9.656,1477.525,0,0.0,5,0,normal
